ticker,entry_date,entry_price,position_size,signal_type,exit_date,exit_price
LMT,20.07.2026,513,50,FVB+SMZ,,
MCHP,20.07.2026,83.20,50,FVB,,
HCA,20.07.2026,378.50,50,FVB+SMZ,,
EQT,20.07.2026,49.91,50,FVB+SMZ,,
KR,20.07.2026,59.04,50,FVB,,
NOC,20.07.2026,531.50,50,FVB+SMZ,,
TSLA,27.07.2026,310.41,50,FVB+SMZ,,
QCOM,27.07.2026,168.16,50,FVB+SMZ,,
META,27.07.2026,606.18,50,FVB,,
ORLY,27.07.2026,90.40,50,FVB,,
ALNY,27.07.2026,284.15,50,FVB+SMZ,03.08.2026,217.58
SHOP,27.07.2026,123.80,50,FVB,,
T,03.08.2026,23.70,50,FVB,,
COST,03.08.2026,964.00,50,FVB+SMZ,,
NXPI,03.08.2026,225.86,50,FVB+SMZ,,
ODFL,01.09.2026,199.80,50,FVB+SMZ,,
BKE,02.09.2026,43.31,50,FVB,,
LMAT,02.09.2026,81.39,50,FVB,,
FELE,02.09.2026,98.63,50,FVB+SMZ,,
LEU,02.09.2026,166.61,50,FVB,,
LIN,02.09.2026,488.82,50,FVB,,
